ID plataforma;Empresa;Categoria;Fit;Compatibilidad;Contacto;Cargo;Telefono;Mail;Tipo;Licencia;Grupo;Activos;Equipo;Foco;Tecnologia;Custodios;Que hacen;A favor;En contra;Angulo de entrada;Objetivo;Prioridad;Alerta;Direccion;Sitio;Otros contactos;Fuentes;Agendado
pr_2ac0f1d1b5;AV Securities;Con contacto previo;5;Muy alta;Moises Kopel Mizrachi;Research Analyst;;;Casa de valores independiente;Casa de valores, asesor de inversiones, administradora de fondos y puesto de bolsa, más su financiera AV Credit;AV Financial Group;USD 2.300 millones;n/d;Mercados internacionales, individuos e institucionales;Plataforma tecnológica propia, es su bandera comercial;Estructura propia de custodia;Fundada en 2010, es la principal casa de valores independiente de Panamá, con cuatro licencias de la SMV y unos USD 2.300 millones en activos. Tiene plataforma tecnológica propia para negociar, custodiar y estructurar todo tipo de productos financieros. Latinex la premió como Market Champion tres años consecutivos por ser la casa con mayor cantidad de operaciones bursátiles en mercados internacionales. Lanzó AV Total Return, un fondo de renta fija listado en la Bolsa de Valores de Panamá, con cerca de 80% en high yield latinoamericano, 10% en bonos del Tesoro y 10% en acciones de la región.;"- USD 2.300 M y líder en operaciones internacionales: es la independiente más grande de la plaza
- Tienen fondo propio (AV Total Return): necesitan ficha técnica y reporte de performance periódico
- Son intensivos en tecnología: no hay que explicarles el valor de una herramienta, ya lo compran
- El contacto es del área de research, aliado natural para nuestro contenido y comparativos";"- Su plataforma propia es la bandera comercial: hay que posicionar MaximUs como capa de asesoría y propuesta, nunca como reemplazo
- Moises Kopel es analista, no decisor: hay que pedirle que nos abra la puerta de la mesa comercial";Entrar por research con nuestro contenido y comparativos, y de ahí escalar a la mesa comercial. Gancho concreto: ficha y reporte del AV Total Return.;Retomar y pedir escalamiento a la mesa comercial;alta;;Ciudad de Panamá;avsecurities.com;"Moises Kopel Mizrachi (Research Analyst)
Mesa comercial / gerencia de inversiones (—)";"https://avsecurities.com/
https://elvenezolano.com.pa/av-securities-generar-confianza-y-crecimiento-a-traves-de-relaciones-estrechas-y-oportunidades-financieras/
https://supervalores.gob.pa/files/Sociedades/Tarifas/AV%20Securities,%20Inc.pdf";
pr_830d1228c8;Geneva Asset Management (GenAsset);Sin contacto;5;Muy alta;Joaquín De La Guardia;Secretario y socio fundador;+507 210-1430;info@genasset.com;Casa de valores y administrador de inversiones;Regulada por la SMV;Grupo Aliado (mismo grupo que Banco Aliado);Más de USD 2.000 millones;n/d;Gestión patrimonial local e internacional + tesorería institucional;n/d;n/d;"Fundada en 1999 por un grupo de profesionales panameños que venían de Merrill Lynch; Grupo Aliado entró aportando capital y experiencia. Más de 25 años y una de las firmas líderes en gestión patrimonial del país, con enfoque conservador y visión de largo plazo. Administra más de USD 2.000 millones de activos de clientes. Ofrece cuentas de inversión locales e internacionales, asesoría financiera a medida, soluciones de tesorería para institucionales y administra fondos de inversión locales.";"- Más de USD 2.000 M: la cuenta más grande de todo el listado frío
- Administra fondos propios: los comparativos de MaximUs sirven para defenderlos y para el análisis competitivo
- Asesoría a medida + tesorería institucional: dos frentes distintos para vender
- Es el brazo de valores de Banco Aliado, que también está en la lista: una sola visita cubre las dos fichas";"- No publican el equipo comercial: hay que entrar por los socios fundadores o por Banco Aliado
- Firma grande y conservadora: proceso de decisión más largo que una boutique";Entrar por Banco Aliado o por referido: son el mismo grupo. Pitch de asesoría patrimonial industrializada y comparativos contra sus propios fondos.;Conseguir reunión — es la cuenta más grande del listado frío;alta;;Calle 50, Torre Global Bank, piso 25, suites 2502-03;genasset.com;"Joaquín De La Guardia (Secretario y socio fundador)
Javier Martínez-Acha (Socio fundador)
Joseph Hamoui (Vicepresidente de GenAsset y VP Ejecutivo/CFO de Banco Aliado)
Moisés Chreim (Presidente)
Fernando Lewis (Tesorero)";"https://www.genasset.com/directiva-y-fundadores
https://www.genasset.com/
https://genasset.com/nuestra-historia/
https://www.bancoaliado.com/casa-de-valores";
pr_d39d5fe634;MMG Bank;Con contacto previo;5;Muy alta;Victoria;(apellido sin identificar);;;Banco de licencia general con casa de valores y fiduciaria;"Licencia bancaria general, casa de valores y fiduciaria; miembro activo de la Bolsa de Valores de Panamá";MMG Capital Holdings (Bahamas), Grupo Morgan & Morgan;n/d;Jorge Morgan (CEO), Alejandro Cifuentes (CIO), Hugo Rodríguez (VP Wealth Management), Laidat Castroverde (Head of EAM Desk);Gestión patrimonial, banca privada y banca de inversión, clientes locales e internacionales;"Core bancario Temenos; invierten en tecnología";Custodia propia en Panamá y Bahamas;Fundado en 1996 por socios de Morgan & Morgan, uno de los principales estudios legales y financieros de Panamá. Combina licencia bancaria general, casa de valores y fiduciaria. Ofrece cuentas de inversión en Panamá y Bahamas con acceso a instrumentos en varias monedas, custodia y soluciones de cuentas administradas a medida para corporativos. Tiene una mesa dedicada a asesores externos (EAM Desk). MMG Bank & Trust en Bahamas junto con el banco concentran más del 95% de los activos. Corren core bancario Temenos.;"- Tienen una mesa de asesores externos (EAM Desk): es un canal directo a decenas de asesores independientes que podrían usar MaximUs
- Banca privada, casa de valores y fiduciaria en la misma casa: varios frentes
- Tienen CIO propio (Alejandro Cifuentes): hay interlocutor técnico que entiende el producto sin traducción
- Ya invierten en tecnología (core Temenos): entienden comprar software";"- Banco con tecnología propia y proyectos core en curso: competimos por agenda de TI
- La 'Victoria' cargada no se pudo identificar en el organigrama público: confirmar apellido y área";La mesa de EAM. Ofrecer MaximUs como herramienta para los asesores externos que custodian ahí: MMG suma un servicio de valor y nosotros llegamos a varios asesores con una sola venta.;Retomar y explorar el EAM Desk como canal;alta;;MMG Tower, piso 23, Costa del Este;mmgbank.com;"Victoria (Contacto cargado en la plataforma)
Laidat Castroverde Fernández (Head of EAM Desk)
Hugo Rodríguez (Vicepresidente de Wealth Management)
Alejandro Cifuentes (Chief Investment Officer)
Jorge Morgan (CEO)";"https://www.mmgbank.com/investment-solutions/
https://www.mmgbank.com/our-history/
https://www.mmgbank.com/corporate-governance/";
pr_c7ffcc68c3;Quantum Advisors;Sin contacto;5;Muy alta;Guillermo Ameglio;Fundador, director y presidente;+507 395-9565;;Casa de valores independiente;Registrada en la SMV;Independiente, sin grupo bancario;n/d;~8 personas;100% internacional (EE.UU., Europa y emergentes);No declara plataforma propia;No los publica (solo dice 'regulados internacionalmente');Fundada en 1999, más de 25 años en mercados internacionales. Se define como firma independiente y libre de presiones comerciales. Tres divisiones: asesoría de inversión, gestión de carteras diversificadas según perfil del cliente, y administración de riesgo con coberturas. Opera únicamente con intermediarios y custodios regulados internacionalmente.;"- Es exactamente el perfil objetivo: boutique de asesoría con carteras internacionales por perfil de cliente
- Equipo chico (~8): no tienen ni van a construir tecnología propia
- Se venden como independientes y sin conflicto — el argumentario de arquitectura abierta y comparativos les calza
- Gestionan por perfil de riesgo: las estrategias modelo y el rebalanceo les resuelven trabajo diario";"- Firma chica: ticket bajo, hay que dimensionar la propuesta
- No publican el equipo en el sitio: hay que entrar directo por Ameglio";Propuesta de inversión y reporte al cliente en minutos, más comparativos de fondos para sostener el discurso de independencia.;Presentar MaximUs — propuestas y reporting para carteras por perfil;alta;;Torre Global, Suite 2301, Calle 50;quantumadvisorsinc.com;"Guillermo Ameglio (Fundador, director y presidente)
Rafael Vizuette (Asesor financiero)";"https://pa.linkedin.com/in/guillermo-ameglio-9a0b0834
https://www.quantumadvisorsinc.com/
https://supervalores.gob.pa/informacion-de-personas-juridicas-o-entes-regulados/";
pr_b5061b0061;Sardona Capital;Sin contacto;5;Muy alta;Candelario Santana;CEO;;;Casa de valores boutique (modelo suizo);Regulada por la SMV;Sardona International Group (Panamá, Colombia, EE.UU.);No lo publica;6 posiciones directivas + equipo;Clientes locales e internacionales, patrimonios altos;No declara plataforma propia;Mercantil Inversión (local), APEX Clearing y StoneX (EE.UU.), EFG y Capital Union Bank (internacional);Fundada en 2012 para dar servicio de banca privada y gestión patrimonial con el modelo tradicional suizo. Hace gestión discrecional, asesoría de inversión, asset management y brokerage. Gestión activa con research fundamental bottom-up y visión de largo plazo. Suma planificación patrimonial y sucesoria.;"- Gestión discrecional con research propio: necesitan sostener el proceso de inversión con papeles presentables
- Cinco custodios distintos en tres jurisdicciones — el reporte consolidado multi-custodio es dolor puro y es lo que MaximUs resuelve
- Modelo suizo y patrimonios altos: el cliente final exige reporting prolijo
- Grupo con presencia en Colombia y EE.UU.: si entra Panamá, se replica";"- Boutique con research propio: pueden sentir que ya tienen resuelto el análisis
- Hay que separar bien qué les damos nosotros y qué ya hacen ellos";Consolidación y reporte único de carteras repartidas entre APEX, StoneX, EFG, Capital Union y Mercantil. Ese es el gancho.;Presentar MaximUs — consolidado multi-custodio y reporting discrecional;alta;;Ciudad de Panamá;sardona-capital.com;;"https://www.sardona-capital.com/en/
https://www.mundosocial.net/casa-de-valores-panamena-con-modelo-suizo/";
pr_1d47718b0d;Singular Wealth Management;Sin contacto;5;Muy alta;Sergi Lucas;CEO;;;Casa de valores independiente;CNV 219-2005 (19/9/2005) y SMV 672-15 (21/10/2015);Independiente, no afiliada a ningún grupo bancario;USD 600 millones;n/d;Gestión discrecional, institucional y trading DIY;Tiene plataforma de trading para clientes (DIY);n/d;Casa de valores boutique que creció comprando negocio: adquirió IPG Securities y la cartera de LW Casa de Valores, y con eso llegó a USD 600 millones administrados. Recibió el premio de Latinclear al participante con mayor crecimiento interanual en custodia. Ofrece gestión discrecional para clientes que quieren delegar, servicios institucionales para grandes capitales y una plataforma de trading DIY con acceso a más de 2 millones de productos.;"- Crece integrando carteras compradas a otras casas: cada integración necesita análisis de cartera, propuesta y reporte — el momento ideal para entrar
- USD 600 M y sin banco detrás: deciden rápido y pagan por herramienta que les dé escala
- Gestión discrecional: necesitan reporting de performance por estrategia
- Se posicionan como los que más crecen en custodia: van a necesitar industrializar procesos";"- Ya tienen plataforma de trading propia: hay que dejar claro que MaximUs no compite con eso, va arriba (propuesta, análisis y reporte)
- En la base figura como 'Singular Bank' — confirmar que es Singular Wealth Management Panamá y no el Singular Bank español";Escalar sin sumar gente: analizar y proponer sobre las carteras que van absorbiendo, con reporte de performance por estrategia.;Presentar MaximUs — análisis de carteras integradas y reporting discrecional;alta;Verificar identidad: ¿Singular Wealth Management (Panamá) o Singular Bank (España)?;Ciudad de Panamá;singularwm.com;"Sergi Lucas Fernández (CEO)
Roberto Brenes P. (Presidente)";"https://singularwm.com/en/junta-directiva/
https://thebusinessyear.com/interview/sergi-lucas-panama-2024/
https://singularwm.com/en/
https://www.prensa.com/contenido-patrocinado/singular-la-evolucion-de-una-casa-de-valores-boutique/";
pr_34ef6c3e52;WINEXCO Securities;Sin contacto;5;Muy alta;Luis Alfredo Cercós;Presidente y representante legal (CEO de Inexco);;;Casa de valores;Res. SMV 312-2012, opera desde el 1/9/2012;Grupo Inexco (+18 años, wealth & asset manager con negocios en Chile y Venezuela, sede en Panamá);No publicado;n/d;Internacional, inversores individuales e institucionales;"Sin plataforma propia declarada; publica factsheets de estrategias";Interactive Brokers, UBS, PKB Private Bank e Interaudi Bank;Casa de valores del Grupo Inexco. Inexco le compró el 60% a World Investment Group y hoy tiene el 100%. Ofrece research independiente, asesoría financiera, cotización, ejecución y transferencias. Publica factsheets de estrategias propias, por ejemplo la Estrategia de Asignación Táctica de Activos (ATA) Balanceada. Tiene planes de expansión regional, con México en la mira.;"- Corren estrategias modelo propias con factsheet: es literalmente el output que genera MaximUs
- Cuatro custodios internacionales: consolidación y performance por estrategia
- Grupo regional (Chile, Venezuela, México en carpeta): una venta se multiplica
- El contacto cargado es el número uno de la firma";"- Si ya arman los factsheets a mano, hay que mostrar el ahorro de tiempo con números
- Ojo: Yariela Samaniego figura en Winexco en operaciones y cumplimiento, y también aparece asociada a Firmus — chequear quién es quién antes de la reunión";Automatizar el factsheet y el reporte de performance de sus estrategias modelo, y consolidar IB + UBS + PKB + Interaudi en un solo reporte.;Presentar MaximUs — factsheets de estrategias y consolidado multi-custodio;alta;;Calle 50, Torre Global Bank, piso 31, of. 3103;winexco.com;;"https://www.winexco.com/quienesomos
https://supervalores.gob.pa/wp-content/uploads/2021/03/Winexco_Securities.pdf
https://citywire.com/americas/news/panama-firm-sets-out-expansion-plans-with-mexico-next-target/a1019768";
pr_4ec41113be;Alpha Securities;Sin contacto;4;Alta;Juan Manuel Barranco;Director (17+ años en dirección estratégica y banca de inversión);+507 398-3825;;Casa de valores y administrador de inversiones;Licencia SMV 1961, casa de valores y administrador desde 2013 (firma constituida en 2011);Independiente;n/d;Boutique: José Michelén (presidente), Juan Manuel Barranco, Santiago Camarena, Keyla Scarpetta, Adrian Hibbert (broker asesor);Asesoría personalizada y gestión de carteras, con experiencia internacional (NY, San Francisco, Londres, Barcelona);No declara plataforma propia;n/d;Firma de intermediación y asesoría financiera constituida en 2011 y regulada por la SMV desde 2013, con doble licencia de casa de valores y administrador de inversiones. Hace gestión de carteras y asesoría financiera personalizada. El equipo directivo viene de mercados de capitales internacionales.;"- Doble licencia (casa de valores + administrador): pueden gestionar carteras discrecionales
- Boutique con directivos de mercados internacionales: entienden el producto sin explicación larga
- Ya tenemos el contacto cargado y es director, no un mando medio
- Sin tecnología propia: espacio limpio para MaximUs";"- Tamaño chico, ticket acotado
- No publican AUM: hay que calificar el tamaño real en la reunión";Propuesta institucional en minutos y reporting de carteras administradas, con la calidad visual que sus clientes internacionales esperan.;Presentar MaximUs — propuestas y gestión de carteras;alta;;Avenida Balboa, Ciudad de Panamá;alpha.com.pa;;"https://alpha.com.pa/nosotros/
https://supervalores.gob.pa/informacion-de-personas-juridicas-o-entes-regulados/informacion-general-casas-de-valores/";
pr_287a9c7bb8;BP Securities;Sin contacto;4;Alta;Daniel Sierra;;;;Broker dealer / casa de valores independiente;Regulada por la SMV;Independiente;n/d;n/d;Clientes individuales e institucionales de toda la región;"Sin plataforma propia; usa pantallas y research de terceros";Alianzas con instituciones de primer nivel (no las publica);Broker dealer de alcance global especializado en soluciones financieras integradas. El equipo da asesoría y gestión de activos a clientes finales en toda la región. Trabaja bonos corporativos y soberanos (emergentes, EE.UU. y Europa), acceso directo a las principales familias de fondos mutuos, renta fija, acciones y opciones, alternativos y mercados locales. Ofrece pantallas en vivo y research de renta fija de terceros.;"- Asesoran y gestionan para clientes finales en toda la región: usuario natural de MaximUs
- Fuerte en renta fija y fondos mutuos, que es donde MaximUs tiene el universo cargado
- Reconocen que su research es de terceros: hay lugar para nuestro contenido y nuestras propuestas
- Contacto ya cargado";"- Perfil bastante transaccional: hay que empujar hacia asesoría con propuesta y reporte
- Sin datos públicos de tamaño";Propuesta de renta fija con la ficha de cada bono y el reporte al cliente. Es su producto core y hoy lo arman a mano.;Presentar MaximUs — propuestas de renta fija y fondos;alta;;Ciudad de Panamá;securitiesbp.com;;https://www.securitiesbp.com/;
pr_054f081358;Global Bank;Con contacto previo;4;Alta;Irving Becerra;Head of Asset Management (gerente senior de gestión de activos);;;Banco de licencia general con casa de valores subsidiaria;Global Valores, S.A.: casa de valores desde la Res. CNV-022-03 del 29/1/2003, con licencia de administradora de inversiones;Global Bank Corporation / GB Group;n/d;1.001-5.000 empleados en el banco;Banca privada y gestión patrimonial, local e internacional;Estructura propia de banco grande;n/d;Banco fundado en 1994, el segundo banco privado de capital panameño, con 47 sucursales y una red amplia de canales. Global Valores es su casa de valores, subsidiaria 100%, y administra el Fondo Global de Inversiones. Su catálogo de inversión incluye acciones locales e internacionales, renta fija local e internacional, bonos soberanos y corporativos, fondos mutuos, fondos de cobertura, productos estructurados y fondos de capital privado.;"- El contacto que ya tenemos es literalmente el head de asset management: no hay que buscar interlocutor
- Administran el Fondo Global de Inversiones y publican ficha técnica mensual: es exactamente el output que automatiza MaximUs
- Catálogo amplísimo, hasta capital privado y hedge funds: mucho para proponer y explicar al cliente
- Segundo banco privado de capital panameño: volumen real";"- Banco grande: compras formales y agenda de TI propia
- Parte del negocio es mercado local, donde aportamos menos
- Hay que confirmar en qué quedó el contacto previo antes de repetir el pitch";La ficha técnica y el reporte del Fondo Global de Inversiones, más las propuestas de banca privada. Es el terreno de Becerra y es dolor mensual.;Retomar con Becerra — Fondo Global de Inversiones;alta;;Calle 50, Torre Global Bank;globalbank.com.pa;Irving Becerra (Head of Asset Management, gerente senior de gestión de activos);"https://www.globalbank.com.pa/global-valores
https://www.globalbank.com.pa/banca-privada/gestion-patrimonial/fondo-global-de-inversiones
https://www.globalbank.com.pa/sites/default/files/media/documentos/ficha-tecnica-fglobal-feb-2026.pdf";
